facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"FRESENIUS KIDNEY CARE - SHARON HILL, LLC",392807,-,"700 CHESTER PIKE","Sharon Hill",PA,19079,4,6.30%,66.10%,8,93.60%,0.39%,0.46,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.44,0.623,2,1.13,10,2,47,0.50%
"Fresenius Kidney Care Shore",312628,-,"2605 SHORE ROAD",NORTHFIELD,NJ,08225,3,10.22%,52.91%,4,97.39%,0.48%,1.032,10,59.74%,57.06%,80.87%,53.15%,62.40%,51.76%,5,0.944,0.82,6,0.895,10,5,53,0.50%
"FRESENIUS KIDNEY CARE - SLATEBELT",392638,-,"525 EAST WEST STREET","Wind Gap",PA,18091,4,12.50%,66.93%,6,95.23%,0.60%,1.103,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.196,0,0,1.293,10,7,51,0.50%
"FRESENIUS KIDNEY CARE - SMYRNA",082512,-,"GATEWAY NORTH SHOPPING CENTER - 210 STADIUM STREET, RT. 13",Smyrna,DE,19977,4,9.87%,63.78%,6,98.80%,0.15%,0.933,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.14,0.414,3,1.059,10,3,56,0.00%
"Fresenius Kidney Care Smyth County",492700,-,"945 N MAIN STREET",MARION,VA,24354,5,16.15%,67.60%,5,97.13%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.348,"No Rate",10,0.532,10,9,87,0.00%
"FRESENIUS KIDNEY CARE - SOUTH ALLENTOWN",392711,-,"2820 MITCHELL AVENUE",Allentown,PA,18103,4,7.47%,76.06%,9,99.08%,0.11%,0.919,10,58.40%,49.52%,80.55%,47.48%,42.31%,51.87%,5,0.924,1.165,3,1.111,10,5,53,0.50%
"Fresenius Kidney Care Southern Broward",682662,-,"2700 HOLLYWOOD BLVD - SUITE 100",Hollywood,FL,33020,7,13.94%,54.73%,3,92.46%,8.92%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.386,0.306,0,1.409,10,0,37,1.00%
"Fresenius Kidney Care Southern Maryland Home",212734,-,"28103 THREE NOTCH RD - SUITE 1 A",Mechanicsville,MD,20659,5,"No Rate","No Rate","No Score",100.00%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",9,0.688,10,"No Score",97,0.00%
"FRESENIUS KIDNEY CARE - SOUTH HILLS",392544,-,"4651 LIBRARY ROAD","Bethel Park",PA,15102,4,8.31%,79.87%,9,97.98%,4.13%,0.422,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.902,0.946,4,1.131,10,4,64,0.00%
"FRESENIUS KIDNEY CARE STANFORD",182639,-,"29 FRONTIER BLVD",STANFORD,KY,40484,9,7.33%,72.20%,8,97.75%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.845,0.696,0,1.327,10,8,57,0.00%
"FRESENIUS KIDNEY CARE - STATE COLLEGE",392647,-,"3901 SOUTH ATHERTON STREET, SUITE 7","State College",PA,16801,4,8.57%,78.26%,9,99.52%,0.45%,1.113,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.853,0.182,5,0.987,10,8,74,0.00%
"FRESENIUS KIDNEY CARE ST AUGUSTINE SOUTH",682628,-,"65 WHITEHALL DR","SAINT AUGUSTINE",FL,32086,7,18.51%,60.24%,3,98.72%,0.00%,1.619,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",10,0.536,10,8,74,0.00%
"FRESENIUS KIDNEY CARE-ST PETERSBURG",682525,-,"446 4TH STREET S","SAINT PETERSBURG",FL,33701,7,4.44%,58.63%,7,95.42%,3.99%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.848,1.416,4,1.065,10,2,56,0.00%
"Fresenius Kidney Care Stroudsburg",392547,-,"55 NORTH 3RD STREET",Stroudsburg,PA,18360,4,15.33%,59.82%,4,95.27%,0.23%,0.425,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.967,1.854,3,1.112,10,0,45,1.00%
"Fresenius Kidney CareTangerine Crossing",032657,-,"3600 W TANGERINE RD - SUITE 120",Marana,AZ,85658,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"FRESENIUS KIDNEY CARE - TEMPLE DIALYSIS GERMANTOWN",392530,-,"3401 FOX STREET, SUITE C",Philadelphia,PA,19129,4,6.85%,71.62%,9,95.93%,0.52%,1.688,10,73.74%,60.92%,77.49%,62.62%,67.40%,76.87%,0,1.304,0.329,0,1.308,10,2,45,1.00%
"FRESENIUS KIDNEY CARE - TEMPLE DIALYSIS ONTARIO",392605,-,"3401 FOX STREET, BUILDING 5 - SUITE A",Philadelphia,PA,19129,4,22.55%,47.56%,1,93.69%,2.61%,0.984,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.311,0.304,0,1.317,10,0,30,1.50%
"FRESENIUS KIDNEY CARE - THREE RIVERS",392559,-,"1401 FORBES AVENUE, SUITE 250",Pittsburgh,PA,15219,4,9.29%,63.25%,6,96.43%,0.00%,0.542,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.014,2.876,1,1.239,10,0,45,1.00%
"FRESENIUS KIDNEY CARE TOWN AND COUNTRY",682636,-,"5951 WEBB ROAD",TAMPA,FL,33615,7,18.71%,68.43%,4,95.57%,0.00%,0.398,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.922,0.445,9,0.675,10,9,70,0.00%
"Fresenius Kidney Care Trailblazer LLC",452768,-,"2001 E BOWIE AVE",CROCKETT,TX,75835,14,4.36%,56.16%,6,95.99%,2.88%,0.788,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.706,0.933,8,0.774,10,0,61,0.00%
"Fresenius Kidney Care Troy",012520,-,"606 BOTTS AVE",TROY,AL,36081,8,13.44%,47.60%,3,99.42%,0.29%,0.973,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.864,0.332,5,0.954,10,10,70,0.00%
"Fresenius Kidney Care Union Springs, LLC",012649,-,"112 W CONECUH AVE","UNION SPRINGS",AL,36089,8,10.05%,68.31%,7,96.70%,3.04%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.841,0.979,6,0.902,10,0,68,0.00%
"FRESENIUS KIDNEY CARE - UNIONTOWN",392553,-,"360 WALMART DRIVE, SUITE 1A",Uniontown,PA,15401,4,8.25%,78.58%,9,99.24%,0.24%,0.989,10,72.76%,63.47%,77.88%,67.42%,58.60%,60.95%,7,0.8,1.111,2,1.126,10,7,61,0.00%
"Fresenius Kidney Care-Warren",362880,-,"4941 ENTERPRISE BLVD. NW",WARREN,OH,44481,9,8.81%,76.64%,9,94.92%,1.85%,1.97,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.464,1.543,0,1.505,10,6,33,1.50%
"FRESENIUS KIDNEY CARE - WAYNESBORO",392701,-,"27 VISTA AVENUE",Waynesboro,PA,17268,4,7.51%,72.38%,8,94.44%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.123,0.392,7,0.823,10,6,70,0.00%
"Fresenius Kidney Care West Charlotte",342554,-,"3057 FREEDOM DRIVE",CHARLOTTE,NC,28208,6,15.62%,54.15%,2,98.67%,0.19%,0.128,10,68.22%,67.01%,75.58%,66.63%,64.28%,79.00%,1,1.223,0.686,8,0.798,10,6,62,0.00%
"FRESENIUS KIDNEY CARE - WEST CHESTER",392837,-,"1380 ENTERPRISE DR., SUITE 300","West Chester",PA,19380,4,7.45%,49.86%,4,98.11%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.359,0,7,0.844,10,6,83,0.00%
"FRESENIUS KIDNEY CARE - WESTERN PENNSYLVANIA",392542,-,"5124 LIBERTY AVENUE",Pittsburgh,PA,15224,4,16.28%,59.66%,3,99.25%,0.00%,1.36,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.005,0.838,6,0.891,10,7,58,0.00%
"Fresenius Kidney Care Westgate",362869,-,"3546 WEST SYLVANIA AVENUE",TOLEDO,OH,43623,9,17.45%,60.05%,3,97.99%,0.48%,0.395,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.772,"No Rate",6,0.917,10,7,67,0.00%
"FRESENIUS KIDNEY CARE - WHEATFIELD",332681,-,"3909 FOREST PARKWAY","NORTH TONAWANDA",NY,14120,2,10.26%,70.97%,7,95.33%,1.69%,1.219,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.46,0.742,5,0.963,10,0,42,1.00%
"FRESENIUS KIDNEY CARE - WHITEHALL",392603,-,"1320 MICKLEY ROAD",Whitehall,PA,18052,4,9.09%,70.75%,8,99.00%,0.66%,0.73,10,76.66%,61.61%,89.32%,68.75%,63.45%,91.78%,3,1.091,0.279,1,1.222,10,3,60,0.00%
"FRESENIUS KIDNEY CARE - WILKES BARRE",392512,-,"307 LAIRD STREET, SUITE 1","Wilkes Barre",PA,18702,4,8.87%,74.78%,8,97.45%,0.68%,0.6,10,81.18%,67.36%,85.55%,77.75%,74.54%,78.15%,4,1.02,1.98,3,1.084,10,6,59,0.00%
"FRESENIUS KIDNEY CARE - WILMINGTON",082511,-,"ST. FRANCIS MEDICAL OFFICE BUILDING, SUITE 404 - 7TH AND CLAYTON STREET",Wilmington,DE,19805,4,8.11%,70.50%,8,98.25%,0.16%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.759,0.544,7,0.805,10,6,81,0.00%
"Fresenius Kidney Care Wolfe Street Pediatrics",212723,-,"600 NORTH WOLFE STREET",BALTIMORE,MD,21287,5,"No Rate","No Rate","No Score",87.03%,"No Rate",0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate",10,"No Score",64,0.00%
"FRESENIUS KIDNEY CARE - WYNNEWOOD",392539,-,"LANKENAU HOSPITAL MOB - EAST, GROUND FLR - 100 EAST LANCASTER AVE., SUITE 6",Wynnewood,PA,19096,4,7.01%,49.03%,4,97.89%,0.27%,0.307,10,62.87%,48.65%,71.46%,54.94%,41.21%,39.77%,0,1.523,0.422,3,1.085,10,4,46,0.50%
"FRESENIUS MEDICAL CARE",012662,-,"114 MITYLENE PARK LANE",MONTGOMERY,AL,36117,8,"No Rate","No Rate","No Score",95.30%,0.82%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.376,1.085,3,1.119,10,"No Score",40,1.00%
"FRESENIUS MEDICAL CARE ABILENE",452511,-,"1802 PINE ST",ABILENE,TX,79601,14,11.59%,60.38%,5,93.35%,0.80%,0.386,10,75.50%,56.23%,70.78%,73.73%,51.20%,59.71%,5,0.975,2.182,3,1.063,10,0,40,1.00%
"FRESENIUS MEDICAL CARE ABILENE LONE STAR",672722,-,"349 SOUTH DANVILLE DRIVE",ABILENE,TX,79605,14,10.93%,60.51%,5,98.36%,0.37%,0.801,10,78.71%,57.98%,77.25%,78.63%,66.13%,69.03%,7,0.792,1.48,8,0.739,10,6,64,0.00%
"Fresenius Medical Care Acworth",112849,-,"3372 ACWORTH SUMMIT BLVD",ACWORTH,GA,30101,6,10.05%,63.16%,6,96.84%,0.52%,0.438,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.139,1.291,2,1.145,10,0,48,0.50%
"FRESENIUS MEDICAL CARE ADAMS COUNTY HOME, LLC",252593,-,"151 JEFFERSON DAVIS BLVD STE D",NATCHEZ,MS,39120,8,"No Rate","No Rate","No Score",94.91%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",10,0.437,10,"No Score",79,0.00%
"Fresenius Medical Care Aiken",422659,-,"690 MEDICAL PARK DR - SUITE 150",AIKEN,SC,29801,6,10.33%,51.37%,3,96.08%,2.26%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.781,0.525,3,1.081,10,4,61,0.00%
"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC",012684,-,"173 BUSINESS PARK DR",ALBERTVILLE,AL,35951,8,10.53%,53.08%,4,97.66%,0.00%,0.795,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.243,1.764,5,0.932,10,9,55,0.50%
"Fresenius Medical Care Aldersgate",342738,-,"3211 BISHOPS WAY LN - SUITE 2000",Charlotte,NC,28215,6,6.11%,74.87%,9,97.97%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.1,"No Rate",4,0.998,10,3,62,0.00%
"FRESENIUS MEDICAL CARE AMARILLO HIGH PLAINS",452513,-,"5920 AMARILLO BLVD WEST",AMARILLO,TX,79106,14,8.88%,40.00%,4,99.34%,0.41%,0.365,10,70.27%,73.67%,86.40%,71.42%,80.83%,80.98%,5,0.92,0.31,8,0.751,10,7,75,0.00%
"Fresenius Medical Care Anniston Home, LLC",012686,-,"2017 QUINTARD AVENUE, SUITE A",ANNISTON,AL,36201,8,0.00%,68.37%,9,93.63%,0.41%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.527,1.499,7,0.816,10,"No Score",70,0.00%
"FRESENIUS MEDICAL CARE APEX",342658,-,"1000 AMERICAN WAY",APEX,NC,27502,6,20.82%,54.55%,1,96.24%,0.28%,0.826,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.133,1.446,8,0.791,10,0,44,1.00%
"FRESENIUS MEDICAL CARE AT BENTON HARBOR",232688,-,"338 8TH ST","BENTON HARBOR",MI,49022,11,12.94%,62.26%,5,97.50%,1.06%,0.444,10,50.39%,53.46%,72.36%,41.27%,57.87%,54.71%,5,0.978,0.168,3,1.089,10,6,54,0.50%
"Fresenius Medical Care Augusta Home",852500,-,"2470 WRIGHTSBORO RD",AUGUSTA,GA,30904,6,18.05%,60.65%,3,85.23%,2.03%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.38,0.799,6,0.916,10,"No Score",52,0.50%
"FRESENIUS MEDICAL CARE AUSTIN SOUTH",452602,-,"621 RADAM LN",AUSTIN,TX,78745,14,11.10%,74.16%,8,99.24%,0.00%,0.124,10,82.60%,61.82%,85.15%,63.16%,69.31%,66.41%,6,0.896,0,6,0.892,10,2,76,0.00%
"Fresenius Medical Care Balch Springs, LLC",742530,-,"2429 HICKORY TREE RD","BALCH SPRINGS",TX,75180,14,8.06%,36.82%,4,96.74%,0.56%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.932,"No Rate",5,0.928,10,3,53,0.50%
"FRESENIUS MEDICAL CARE - BARABOO",522603,-,"1600 JEFFERSON ST - SUITE 200",BARABOO,WI,53913,11,19.01%,72.89%,5,99.55%,0.00%,0.529,10,62.65%,59.45%,85.44%,67.03%,70.55%,85.99%,3,1.102,1.287,10,0.619,10,7,66,0.00%
"Fresenius Medical Care Bartlett Home, LLC",442720,-,"1533 BONNIE LANE, SUITE 101",CORDOVA,TN,38016,8,25.00%,50.87%,1,96.99%,0.12%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.962,0.828,5,1.016,10,"No Score",54,0.50%
"FRESENIUS MEDICAL CARE BAYTOWN DIALYSIS",452575,-,"2202 ROLLINGBROOK",BAYTOWN,TX,77521,14,11.67%,69.55%,6,98.72%,0.35%,0.091,10,73.50%,69.95%,79.86%,68.32%,74.14%,74.58%,1,1.231,1.579,4,1.047,10,1,53,0.50%
"FRESENIUS MEDICAL CARE BAYTOWN NORTH",672760,-,"4816 EAST CHASE STREET",BAYTOWN,TX,77521,14,17.22%,66.75%,4,97.25%,0.11%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.782,1.006,4,1.044,10,3,64,0.00%
"Fresenius Medical Care Beamer",672869,-,"12727 BEAMER ROAD",HOUSTON,TX,77089,14,15.07%,70.94%,6,95.50%,0.38%,0.278,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.323,0,6,0.865,10,3,63,0.00%
"FRESENIUS MEDICAL CARE BELLMEAD",452610,-,"1803 N DEVELOPMENT BLVD",BELLMEAD,TX,76705,14,6.35%,71.58%,9,98.32%,0.35%,1.005,10,76.70%,65.65%,82.10%,64.95%,67.40%,70.65%,7,0.831,0.876,6,0.893,10,4,67,0.00%
"FRESENIUS MEDICAL CARE BENNETTSVILLE",422520,-,"1104 FRANK W EVANS WAY",BENNETTSVILLE,SC,29512,6,17.59%,52.84%,2,98.68%,0.53%,0.339,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.927,0.792,3,1.091,10,5,57,0.00%
"FRESENIUS MEDICAL CARE BERKELEY LAKE, LLC",112862,-,"3870 PEACHTREE INDUSTRIAL BOULEVARD NW",DULUTH,GA,30096,6,8.41%,74.98%,9,94.96%,0.56%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.595,0.392,9,0.71,10,0,80,0.00%
"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC",012657,-,"35 WEST LAKESHORE DRIVE - SUITE 105",BIRMINGHAM,AL,35209,8,4.05%,74.81%,10,95.98%,0.57%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.522,2,2,1.144,10,"No Score",41,1.00%
"Fresenius Medical Care Braselton, LLC",112889,-,"2349 SPARTA WAY",BUFORD,GA,30519,6,12.16%,56.86%,4,97.86%,1.02%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.989,0.166,5,0.968,10,7,69,0.00%
"Fresenius Medical Care Braxton County",512549,-,"256 SKIDMORE LANE",SUTTON,WV,26601,5,10.96%,69.21%,7,99.57%,0.43%,1.251,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.487,"No Rate",8,0.814,10,9,80,0.00%
"FRESENIUS MEDICAL CARE BRAZOS",452526,-,"2329 N 39TH",WACO,TX,76708,14,8.09%,72.75%,9,96.71%,0.41%,0.209,10,66.29%,60.17%,74.86%,47.56%,54.09%,63.10%,4,1.055,1.3,1,1.197,10,0,47,0.50%
"FRESENIUS MEDICAL CARE BRAZOS",672602,-,"1730 B F TERRY BLVD, STE 1102",ROSENBERG,TX,77471,14,17.31%,57.73%,3,96.01%,0.00%,2.528,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.135,1.321,1,1.352,10,3,35,1.50%
"FRESENIUS MEDICAL CARE BREMEN",112751,-,"108 REDDING DRIVE",BREMEN,GA,30110,6,8.28%,80.69%,9,95.33%,0.24%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.888,0.619,5,0.944,10,7,72,0.00%
"FRESENIUS MEDICAL CARE BROWNWOOD",452559,-,"110 SOUTH PARK DRIVE",BROWNWOOD,TX,76801,14,4.96%,75.94%,10,97.77%,0.00%,1.643,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.731,0.293,8,0.787,10,6,75,0.00%
"FRESENIUS MEDICAL CARE BUTLER COUNTY, LLC",362724,-,"5148 COLLEGE CORNER PIKE",OXFORD,OH,45056,9,21.79%,42.78%,2,98.76%,0.83%,0.847,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.15,0,3,1.161,10,9,57,0.00%
"FRESENIUS MEDICAL CARE BUTLER COUNTY, LLC",362856,-,"890 NW WASHINGTON BOULEVARD",HAMILTON,OH,45013,9,40.52%,46.58%,0,97.05%,0.00%,0.699,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.406,0,3,1.116,10,7,49,0.50%
"FRESENIUS MEDICAL CARE CALALLEN",452630,-,"3825 COUNTY ROAD 69",Robstown,TX,78380,14,13.92%,69.57%,6,99.68%,0.00%,1.1,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.676,1.21,7,0.85,10,0,66,0.00%
"FRESENIUS MEDICAL CARE CAMDEN",422509,-,"7 HAILE LANE",CAMDEN,SC,29020,6,12.09%,48.55%,3,97.36%,0.00%,0.561,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.714,1.085,8,0.764,10,0,63,0.00%
"FRESENIUS MEDICAL CARE CARROL COUNTY",112749,-,"157 CLINIC AVENUE - SUITE 102",CARROLLTON,GA,30117,6,9.11%,57.62%,5,94.76%,0.51%,0.308,10,68.42%,57.08%,78.56%,63.55%,43.67%,50.43%,0,1.455,2.917,4,1.019,10,1,38,1.00%
"FRESENIUS MEDICAL CARE CASWELL",342597,-,"1702 HWY 86 NORTH",YANCEYVILLE,NC,27379,6,3.28%,60.19%,7,95.95%,0.22%,0.481,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.964,0.272,0,1.265,10,0,55,0.50%
"FRESENIUS MEDICAL CARE CAYEY",402549,-,"P.O. BOX 371057",CAYEY,PR,00737,3,8.22%,75.13%,9,95.97%,0.05%,0.255,10,68.12%,64.99%,87.77%,68.59%,70.35%,77.19%,2,1.154,2.02,1,1.207,10,2,49,0.50%
"Fresenius Medical Care Cedar Hill, LLC",742529,-,"120 W BELT LINE RD","CEDAR HILL",TX,75104,14,9.84%,59.10%,5,96.75%,2.68%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.079,"No Rate",8,0.762,10,5,52,0.50%
"Fresenius Medical Care Central Florida, LLC",682670,-,"2645 SW 20TH ST",Ocala,FL,34471,7,0.00%,69.29%,9,98.18%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"FRESENIUS MEDICAL CARE CENTRAL RALEIGH",342684,-,"802 SEMART DRIVE",RALEIGH,NC,27604,6,6.80%,53.45%,5,98.50%,0.36%,0.704,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.053,0.402,2,1.127,10,6,60,0.00%
"FRESENIUS MEDICAL CARE - CHAMPLIN",242560,-,"12339 CHAMPLIN DR",CHAMPLIN,MN,55316,11,9.13%,67.45%,7,98.26%,1.74%,0.342,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.558,0.224,8,0.766,10,5,79,0.00%
"Fresenius Medical Care - Chapel Hill",112879,-,"3138 GOLF RIDGE BOULEVARD",DOUGLASVILLE,GA,30135,6,12.72%,71.00%,7,97.05%,0.36%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.206,0.25,7,0.801,10,3,69,0.00%
"FRESENIUS MEDICAL CARE CHARLESTON COUNTY",422630,-,"901 VON KOLNITZ RD","MOUNT PLEASANT",SC,29464,6,6.91%,42.95%,5,97.63%,0.26%,0.432,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.28,0.23,10,0.64,10,2,64,0.00%
"FRESENIUS MEDICAL CARE CHARLOTTE",342503,-,"928 BAXTER STREET",CHARLOTTE,NC,28204,6,9.15%,63.81%,6,94.03%,1.51%,0.196,10,70.76%,48.74%,75.85%,64.45%,49.72%,58.17%,6,0.912,0.52,8,0.752,10,4,59,0.00%
"Fresenius Medical Care Chelmsford",222587,-,"27 INDUSTRIAL AVE",CHELMSFORD,MA,01824,1,17.44%,62.93%,4,98.64%,0.76%,0.593,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.223,1.139,5,0.964,10,5,53,0.50%
"FRESENIUS MEDICAL CARE CHERAW",422614,-,"104 GRACE LANE",CHERAW,SC,29520,6,8.23%,66.90%,7,95.45%,0.00%,0.375,10,53.24%,51.91%,73.81%,57.83%,65.40%,67.74%,0,1.357,0.723,7,0.852,10,0,48,0.50%
"Fresenius Medical Care Chicagoland, LLC",142607,-,"17524 CARRIAGE WAY","HAZEL CREST",IL,60429,10,14.45%,55.97%,3,96.66%,2.15%,0.184,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.891,0.308,7,0.828,10,0,62,0.00%
"FRESENIUS MEDICAL CARE CHIGACOGLAND, LLC",142815,-,"4616 BISHOP STREET",CHICAGO,IL,60609,10,16.87%,66.21%,4,97.35%,0.68%,0.248,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.838,"No Rate",5,0.958,10,3,62,0.00%
"FRESENIUS MEDICAL CARE CHISHOLM TRAIL",672724,-,"1900 SCENIC DRIVE - BUILDING 1",GEORGETOWN,TX,78626,14,5.67%,68.21%,8,94.63%,0.57%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.438,0,5,0.931,10,8,64,0.00%
"FRESENIUS MEDICAL CARE CHURCH STREET",422617,-,"406 SOUTH CHURCH STREET",FLORENCE,SC,29501,6,17.37%,42.60%,1,98.22%,0.13%,0.164,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.156,0.367,6,0.911,10,3,59,0.00%
"Fresenius Medical Care Clarke County",112641,-,"5105 JEFFERSON RD SUITE B",ATHENS,GA,30607,6,6.24%,64.83%,8,97.85%,0.15%,1.329,10,68.45%,58.22%,83.25%,64.26%,49.71%,67.34%,0,1.456,0.16,5,0.977,10,4,55,0.50%
"FRESENIUS MEDICAL CARE CLAYTON COUNTY",112645,-,"181 UPPER RIVERDALE RD",RIVERDALE,GA,30274,6,7.12%,65.51%,7,95.45%,0.27%,0.426,10,71.18%,49.94%,72.95%,66.63%,48.16%,59.59%,2,1.155,0.665,1,1.198,10,0,43,1.00%
"FRESENIUS MEDICAL CARE CLIFFVIEW",452674,-,"1225 E CLIFF DRIVE - SUITE 1-A","EL PASO",TX,79902,14,7.37%,60.84%,6,98.68%,0.00%,0.329,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.862,0,4,1.076,10,4,72,0.00%
"FRESENIUS MEDICAL CARE - CLOQUET",242604,-,"512 SKYLINE BLVD",CLOQUET,MN,55720,11,20.22%,49.86%,0,99.43%,0.00%,0.95,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.446,0,4,0.997,10,8,54,0.50%
"Fresenius Medical Care CNA Kidney Centers, LLC",422650,-,"653 W. WESMARK BOULEVARD",SUMTER,SC,29150,6,10.07%,58.91%,5,97.04%,1.65%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.869,2.865,6,0.866,10,"No Score",51,0.50%
